data,região,à vista,30 dias
02/06/2022,RS Oeste**,10.15,10.25
02/06/2022,RS Pelotas**,10.15,10.25
02/06/2022,BA Sul,259.0,261.0
02/06/2022,BA Oeste,258.0,260.0
02/06/2022,MT Norte,252.0,254.0
02/06/2022,MT Sudoeste,249.0,251.0
02/06/2022,MT Cuiabá*,260.0,262.0
02/06/2022,MT Sudeste,254.0,256.0
02/06/2022,PR Noroeste,259.0,261.0
02/06/2022,SC,279.0,280.5
02/06/2022,MA Oeste,254.0,256.0
02/06/2022,Alagoas,283.5,285.5
02/06/2022,PA Marabá,254.0,256.0
02/06/2022,PA Redenção,254.0,256.0
02/06/2022,PA Paragominas,274.0,276.0
02/06/2022,RO Sudeste,239.5,241.5
02/06/2022,TO Sul,247.0,249.0
02/06/2022,TO Norte,248.0,250.0
02/06/2022,Acre,244.5,246.5
02/06/2022,ES,256.0,258.0
02/06/2022,RJ,264.0,266.0
03/06/2022,SP Barretos,266.0,268.0
03/06/2022,SP Araçatuba,266.0,268.0
03/06/2022,MG Triângulo,242.5,244.5
03/06/2022,MG B.Horizonte,244.5,246.5
03/06/2022,MG Norte,250.0,252.0
03/06/2022,MG Sul,252.0,254.0
03/06/2022,GO Goiânia,248.0,250.0
03/06/2022,GO Reg. Sul,254.0,256.0
03/06/2022,MS Dourados,254.0,256.0
03/06/2022,MS C. Grande,254.0,256.0
03/06/2022,MS Três Lagoas,251.0,253.0
03/06/2022,RS Oeste**,10.1,10.2
03/06/2022,RS Pelotas**,10.1,10.2
03/06/2022,BA Sul,259.0,261.0
03/06/2022,BA Oeste,256.0,258.0
03/06/2022,MT Norte,250.0,252.0
03/06/2022,MT Sudoeste,249.0,251.0
03/06/2022,MT Cuiabá*,259.0,261.0
03/06/2022,MT Sudeste,254.0,256.0
03/06/2022,PR Noroeste,259.0,261.0
03/06/2022,SC,279.0,280.5
03/06/2022,MA Oeste,250.0,252.0
03/06/2022,Alagoas,283.5,285.5
03/06/2022,PA Marabá,253.0,255.0
03/06/2022,PA Redenção,250.0,252.0
03/06/2022,PA Paragominas,272.0,274.0
03/06/2022,RO Sudeste,234.5,236.5
03/06/2022,TO Sul,247.0,249.0
03/06/2022,TO Norte,247.0,249.0
03/06/2022,Acre,244.5,246.5
03/06/2022,ES,256.0,258.0
03/06/2022,RJ,264.0,266.0
06/06/2022,SP Barretos,266.0,268.0
06/06/2022,SP Araçatuba,266.0,268.0
06/06/2022,MG Triângulo,242.5,244.5
06/06/2022,MG B.Horizonte,244.5,246.5
06/06/2022,MG Norte,250.0,252.0
06/06/2022,MG Sul,252.0,254.0
06/06/2022,GO Goiânia,248.0,250.0
06/06/2022,GO Reg. Sul,252.0,254.0
06/06/2022,MS Dourados,254.0,256.0
06/06/2022,MS C. Grande,254.0,256.0
06/06/2022,MS Três Lagoas,251.0,253.0
06/06/2022,RS Oeste**,10.1,10.2
06/06/2022,RS Pelotas**,10.0,10.1
06/06/2022,BA Sul,259.0,261.0
