data,região,à vista,30 dias
02/06/2022,MG Triângulo,266.0,268.0
02/06/2022,MG B.Horizonte,264.0,266.0
02/06/2022,MG Norte,266.0,268.0
02/06/2022,MG Sul,266.0,268.0
02/06/2022,GO Goiânia,264.0,266.0
02/06/2022,GO Reg. Sul,264.0,266.0
02/06/2022,MS Dourados,274.0,276.0
02/06/2022,MS C. Grande,274.0,276.0
02/06/2022,MS Três Lagoas,276.0,278.0
02/06/2022,RS Oeste**,10.65,10.75
02/06/2022,RS Pelotas**,10.65,10.75
02/06/2022,BA Sul,264.0,266.0
02/06/2022,BA Oeste,266.0,268.0
02/06/2022,MT Norte,264.0,266.0
02/06/2022,MT Sudoeste,269.0,271.0
02/06/2022,MT Cuiabá*,272.0,274.0
02/06/2022,MT Sudeste,269.0,271.0
02/06/2022,PR Noroeste,288.5,290.5
02/06/2022,SC,305.5,307.5
02/06/2022,MA Oeste,266.0,268.0
02/06/2022,Alagoas,293.5,295.5
02/06/2022,PA Marabá,264.0,266.0
02/06/2022,PA Redenção,264.0,266.0
02/06/2022,PA Paragominas,278.0,279.5
02/06/2022,RO Sudeste,249.0,251.0
02/06/2022,TO Sul,260.0,262.0
02/06/2022,TO Norte,262.0,264.0
02/06/2022,Acre,259.0,261.0
02/06/2022,ES,267.0,269.0
02/06/2022,RJ,274.0,276.0
03/06/2022,SP Barretos,290.5,292.5
03/06/2022,SP Araçatuba,290.5,292.5
03/06/2022,MG Triângulo,264.0,266.0
03/06/2022,MG B.Horizonte,264.0,266.0
03/06/2022,MG Norte,266.0,268.0
03/06/2022,MG Sul,266.0,268.0
03/06/2022,GO Goiânia,264.0,266.0
03/06/2022,GO Reg. Sul,264.0,266.0
03/06/2022,MS Dourados,274.0,276.0
03/06/2022,MS C. Grande,274.0,276.0
03/06/2022,MS Três Lagoas,273.0,275.0
03/06/2022,RS Oeste**,10.6,10.7
03/06/2022,RS Pelotas**,10.6,10.7
03/06/2022,BA Sul,264.0,266.0
03/06/2022,BA Oeste,266.0,268.0
03/06/2022,MT Norte,262.0,264.0
03/06/2022,MT Sudoeste,269.0,271.0
03/06/2022,MT Cuiabá*,269.0,271.0
03/06/2022,MT Sudeste,269.0,271.0
03/06/2022,PR Noroeste,285.5,287.5
03/06/2022,SC,305.5,307.5
03/06/2022,MA Oeste,261.0,263.0
03/06/2022,Alagoas,293.5,295.5
03/06/2022,PA Marabá,262.0,264.0
03/06/2022,PA Redenção,264.0,266.0
03/06/2022,PA Paragominas,278.0,279.5
03/06/2022,RO Sudeste,244.5,246.5
03/06/2022,TO Sul,260.0,262.0
03/06/2022,TO Norte,260.0,262.0
03/06/2022,Acre,259.0,261.0
03/06/2022,ES,265.0,267.0
03/06/2022,RJ,274.0,276.0
06/06/2022,SP Barretos,290.5,292.5
06/06/2022,SP Araçatuba,290.5,292.5
06/06/2022,MG Triângulo,264.0,266.0
06/06/2022,MG B.Horizonte,264.0,266.0
06/06/2022,MG Norte,266.0,268.0
06/06/2022,MG Sul,266.0,268.0
06/06/2022,GO Goiânia,264.0,266.0
06/06/2022,GO Reg. Sul,264.0,266.0
06/06/2022,MS Dourados,274.0,276.0
06/06/2022,MS C. Grande,274.0,276.0
06/06/2022,MS Três Lagoas,273.0,275.0
06/06/2022,RS Oeste**,10.6,10.7
06/06/2022,RS Pelotas**,10.5,10.6
06/06/2022,BA Sul,264.0,266.0
06/06/2022,BA Oeste,266.0,268.0
06/06/2022,MT Norte,261.0,263.0
06/06/2022,MT Sudoeste,269.0,271.0
06/06/2022,MT Cuiabá*,268.0,270.0
06/06/2022,MT Sudeste,268.0,270.0
